"","file_type","ie_number...2","rep_number","file_name","duration","sample_rate","num_channels","amplitude","xml_title","xml_creators","xml_type","xml_publisher","xml_date","xml_language","xml_identifier","xml_bibliographicCitation","mms","ie_number...18","label_code","label1","label2","label3","label4","label5"
"1","mp3","IE1017269","REP74080121","FL74080122_1212219_PM_S_1.mp3",309.912,48000,14875776,14070,"The Kini Quartet.","Kini Quartet.||Raggett, Margarette.","Sound Recordings","Auckland, N.Z. :               Zodiac,","[1967]","mao","IE1017269","The Kini Quartet.",9912122193502836,"IE1017269","pp","Popular music","Songs, Māori.","","",""
"2","mp3","IE1017269","REP74080121","FL74080125_1212219_PM_S_2.mp3",338.808,48000,16262784,20921,"The Kini Quartet.","Kini Quartet.||Raggett, Margarette.","Sound Recordings","Auckland, N.Z. :               Zodiac,","[1967]","mao","IE1017269","The Kini Quartet.",9912122193502836,"IE1017269","pp","Popular music","Songs, Māori.","","",""
